label,file,obj0,obj1,obj2,obj3,total_production,avg_daily_production,avg_daily_active,material_shortage,excess_machines,penalty_score
pareto01,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto01.xlsx,-160970.96159999998,0.043451212908872855,0.11290321169355017,0.34998151660554083,160970.96159999998,5192.611664516129,7.096774193548387,0.0,0.0,6240008.0
pareto02,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto02.xlsx,-158153.328,0.07345313638473937,0.08467740877016261,0.23259495191186952,158153.328,5101.720258064516,7.32258064516129,0.0,0.0,4930042.0
pareto03,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto03.xlsx,-165269.23296,0.05717350718120866,0.07661289364919475,0.3079957103669523,165269.23296,5331.265579354838,7.387096774193548,0.0,0.0,4270045.0
pareto04,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto04.xlsx,-158153.328,0.07345313638473937,0.08467740877016261,0.23259495191186952,158153.328,5101.720258064516,7.32258064516129,0.0,0.0,4930042.0
pareto05,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto05.xlsx,-163612.152,0.03801145647799623,0.12096772681451803,0.29939632721170245,163612.152,5277.81135483871,7.032258064516129,0.0,0.0,6208000.0
pareto06,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto06.xlsx,-163612.152,0.03801145647799623,0.12096772681451803,0.29939632721170245,163612.152,5277.81135483871,7.032258064516129,0.0,0.0,6208000.0
pareto07,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto07.xlsx,-160062.664,0.09587104620311135,0.05645160584677508,0.26197844372432805,160062.664,5163.311741935484,7.548387096774194,0.0,0.0,3120055.0
pareto08,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto08.xlsx,-162728.05599999998,0.049379955816510945,0.07661289364919475,0.2766203662086157,162728.05599999998,5249.292129032258,7.387096774193548,0.0,0.0,4770008.0
pareto09,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto09.xlsx,-164109.607936,0.0765437388037084,0.09677418145161443,0.2950419155687862,164109.607936,5293.8583205161285,7.225806451612903,0.0,0.0,5670008.0
pareto10,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto10.xlsx,-163625.696,0.051540949696170325,0.09677418145161443,0.3380371067597555,163625.696,5278.248258064517,7.225806451612903,0.0,0.0,5170058.0
pareto11,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260225_175727\pareto11.xlsx,-163103.128,0.04985765233649295,0.08870966633064656,0.32410382409894056,163103.128,5261.391225806453,7.290322580645161,0.0,0.0,5010044.0
