label,file,obj0,obj1,obj2,obj3,total_production,avg_daily_production,avg_daily_active,material_shortage,excess_machines,penalty_score
pareto01,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto01.xlsx,-72719.64,0.24921890579204167,0.13709675705645374,0.43145354632604027,72719.64,2345.7948387096776,6.903225806451613,0.0,0.0,7220017.0
pareto02,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto02.xlsx,-76643.7696,0.1980205247227666,0.11693546925403409,0.5225033857447959,76643.7696,2472.379664516129,7.064516129032258,0.0,0.0,6378000.0
pareto03,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto03.xlsx,-72451.576,0.20860336254520429,0.08870966633064656,0.4989610495138759,72451.576,2337.1476129032253,7.290322580645161,0.0,0.0,4376008.8
pareto04,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto04.xlsx,-69006.9856,0.11265648895383054,0.1491935297379056,0.31438165191623013,69006.9856,2226.031793548387,6.806451612903226,0.0,0.0,8826004.8
pareto05,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto05.xlsx,-67169.89600000001,0.11396979996874437,0.13709675705645374,0.367030632350135,67169.89600000001,2166.7708387096777,6.903225806451613,0.0,0.0,8778004.8
pareto06,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto06.xlsx,-73082.63519999999,0.21856374138369739,0.17741933266129312,0.4210072419769372,73082.63519999999,2357.504361290323,6.580645161290323,0.0,0.0,9886013.0
pareto07,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto07.xlsx,-69006.9856,0.11265648895383054,0.1491935297379056,0.31438165191623013,69006.9856,2226.031793548387,6.806451612903226,0.0,0.0,8826004.8
pareto08,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto08.xlsx,-73082.63519999999,0.21856374138369739,0.17741933266129312,0.4210072419769372,73082.63519999999,2357.504361290323,6.580645161290323,0.0,0.0,9886013.0
pareto09,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto09.xlsx,-76527.95999999999,0.18759140728560328,0.09677418145161443,0.4516110866014028,76527.95999999999,2468.6438709677423,7.225806451612903,0.0,0.0,5536004.8
pareto10,C:\Users\hp\Desktop\代码逻辑 - 副本\nsgablack\examples\cases\integrated_result_pareto_20260226_162728\pareto10.xlsx,-72117.76800000001,0.16821426818385385,0.10080643901209835,0.4930701342741262,72117.76800000001,2326.3796129032257,7.193548387096774,0.0,0.0,5616004.8
